UserID,CourseID,Course Name,Choice,Ground Truth
6,CSCI-A592,INTRODUCTION TO SOFTWARE SYSTEMS,SA,2
6,CSCI-A594,DATA STRUCTURES,NO,0
6,CSCI-A597,INTRODUCTION TO PROGRAMMING I,D,-1
6,CSCI-B503,ALGORITHMS DESIGN AND ANALYSIS,SA,2
6,CSCI-P438,INTRODUCTION TO COMPUTER NETWORKS,D,-1
6,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,D,-1
6,ENGR-E451,SIMULATING NANOSCALE SYSTEMS,SA,2
6,ENGR-E484,SCIENTIFIC VISUALIZATION,SD,-2
6,ILS-Z636,DATA SEMANTICS,SD,-2
6,ILS-Z642,CONTENT ANALYSIS FOR THE WEB,SA,2
