UserID,CourseID,Course Name,Response,Recommendation,Category
5,CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING,P,1,Cyber Security Analyst
5,CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,K,0,Software Developer
5,CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,DK,1,Software Developer
5,CSCI-A541,COMPUTING AND TECHNOLOGY BOOTCAMP,P,1,Database Developer
5,CSCI-A593,COMPUTER STRUCTURES,K,0,Software Developer
5,CSCI-A596,PROGRAMMING LANGUAGES,K,0,Software Developer
5,CSCI-B392,COMPETITIVE PROGRAMMING,K,0,Database Developer
5,CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,DK,1,Cyber Security Analyst
5,CSCI-B430,SECURITY FOR NETWORKED SYSTEMS,K,0,Software Developer
5,CSCI-B505,APPLIED ALGORITHMS,K,0,Software Developer
5,CSCI-B546,MALWARE EPIDEMIC: THREAT AND DEFENSE,K,0,Software Developer
5,CSCI-B555,MACHINE LEARNING,K,0,Database Developer
5,CSCI-B565,DATA MINING,P,1,Cyber Security Analyst
5,CSCI-B599,TEACHING IN COMPUTER SCIENCE,K,0,Database Developer
5,CSCI-C211,INTRODUCTION TO COMPUTER SCIENCE,K,0,Database Developer
5,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,DK,1,Database Developer
5,CSCI-C335,COMPUTER STRUCTURES,K,0,Cyber Security Analyst
5,CSCI-H343,DATA STRUCTURES  HONORS,K,0,Cyber Security Analyst
5,CSCI-P423,COMPILERS,K,0,Software Developer
5,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,K,0,Software Developer
5,CSCI-P523,PROGRAMMING LANGUAGE IMPLEMENT,P,1,Cyber Security Analyst
5,CSCI-P532,OBJECTORIENTED SOFTWARE DEVELOPMENT,K,0,Database Developer
5,CSCI-P538,COMPUTER NETWORKS,K,0,Database Developer
5,CSCI-P556,APPLIED MACHINE LEARNING,K,0,Software Developer
5,CSCI-P565,SOFTWARE ENGINEERING I,DK,1,Database Developer
5,CSCI-Y793,MASTER'S SOFTWARE THESIS,K,0,Cyber Security Analyst
5,ENGR-E311,CIRCUITS AND DIGITAL SYSTEMS,K,0,Database Developer
5,ENGR-E312,MODERN COMPUTER ARCHITECTURE,P,1,Cyber Security Analyst
5,ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,K,0,Cyber Security Analyst
5,ILS-Z571,MATERIALS FOR YOUTH,DK,1,Cyber Security Analyst
